,answer,question
46,"(一)什麼是監護宣告？
對於精神障礙或其他心智缺陷，致不能為意思表示或受意思表示，或不能辨識其意思表示效果者，法院得依聲請人之聲請，為監護之宣告。此時該受監護宣告之人成為無行為能力人，法院除了同時選出一位監護人來擔任他（她）的法定代理人外，也會再選一位適當的人跟監護人一起開具受監護宣告人的財產明細清冊。
(二)什麼人可以提出聲請？
本人、配偶、四親等內之親屬、最近一年有同居事實之其他親屬、檢察官、直轄市、縣（市）政府或社會福利機構，向應受監護宣告之人住所地之法院提出聲請。
(三)應備文件
1.應受監護宣告之人、聲請人、擬擔任監護人、擬擔任會同開具財產清冊人的戶籍謄本各1份。
2.應受監護宣告之人的醫生診斷證明或殘障手冊影本（法院仍須調查鑑定，其費用由聲請人預納）。
(四)流程圖【連結：司法院/業務宣導/少年及家事/貳、家事事件 四、民法相關制度 8. 民法監護及輔助宣告處理流程圖】
(五)書狀範例【連結：司法院/書狀範例/壹、民事訴訟/編號96】",什麼是監護宣告
47,"(一)什麼是輔助宣告？
因精神障礙或其他心智缺陷，致其為意思表示或受意思表示，或辨識其意思表示效果之能力，顯有不足者，法院得依聲請人之聲請，為輔助之宣告，並同時選出一位輔助人來幫助受輔助宣告人處理事情，像是受輔助宣告之人為某些特定行為（如消費借貸、訴訟行為等，可詳閱民法第15條之2）。
(二)什麼人可以提出聲請？
本人、配偶、四親等內之親屬、最近一年有同居事實之其他親屬、檢察官、直轄市、縣（市）政府或社會福利機構向應受輔助宣告之人住所地之法院提出聲請。
(三)應備文件
1.應受輔助宣告之人、聲請人、擬擔任輔助人的戶籍謄本各1份。
2.應受輔助宣告之人的醫生診斷證明或殘障手冊影本（法院仍須調查鑑定，其費用由聲請人預納）。
(四)流程圖【連結：司法院/業務宣導/少年及家事/貳、家事事件 四、民法相關制度 8. 民法監護及輔助宣告處理流程圖】
(五)書狀範例【連結：司法院/書狀範例/壹、民事訴訟/編號96】",什麼是輔助宣告
48,在我國民事訴訟程序，關於法院之裁判，係採裁判有償主義，故原告起訴，應向法院預納裁判費，有關裁判費之計算及徵收，是依據民事訴訟法第77條之13至27之規定，而此項費用之預納則屬民事訴訟法第249條第1項第6款所定原告起訴必須具備之程式，如果原告於起訴時未繳裁判費，審判長會定期間通知原告補繳，若原告未於所定的期間內補繳時，法院就會以原告起訴為不合法，而以裁定駁回。不過原告所繳納之裁判費，性質上係屬預納，依照民事訴訟法第78條之規定，除法律另有規定外，原則上是由敗訴之當事人負擔。,打民事官司（起訴）是否一定要繳裁判費？
49,"(一)何謂遺產分割？
當一人死亡後，有數個繼承人時，這些繼承人依照他們的應繼分來分割繼承的財產。這些繼承人可以用立協議書方式協議分割遺產，但繼承人對於如何分割繼承的財產，意見不一致時，也可以向法院提起訴訟解決。
(二)書狀範例【連結：司法院/書狀範例/貳、少年及家事】",何謂遺產分割
50,當事人進行訴訟所必要的費用，原則上都必須預先繳納，但當事人若於無資力支出訴訟費用時，勢必無法利用法院主張其權益，因此民事訴訟法規定有訴訟救助的制度，就是法院准許無資力支出訴訟費用，但非顯無勝訴之望的當事人，於法定的範圍內，暫緩繳納訴訟費用。至於當事人是否屬於「無資力」之狀況，則是由法官斟酌當事人及其共同生活親屬的基本生活需要，在個案中去認定。不過雖然法院准予訴訟救助，但在案件判決確定或不經裁判而終結後，法院會依職權以裁定確定訴訟費用額，並向應負擔訴訟費用之當事人徵收。,没錢打民事官司怎麼辦？－關於「訴訟救助」
51,"管轄的法院：（提存法第4條） 
清償提存事件，應向民法第314條所定清償地之法院提存所為之。 
債權人在中華民國無住所或住所不明時，以其在中華民國之居所，視為住所；無居所或居所不明者，以其在中華民國最後之住所，視為住所。 
債權人在中華民國無最後住所，或不能確知孰為債權人，致難依前二項定其清償地者，由債務人住所地法院提存所辦理之。 
數人有同一債權，其給付不可分，或為公同共有債權，而債權人住所不在一法院管轄區域者，由其中一住所地法院提存所辦理之。 
強制執行法關於強制執行所得金額、破產法關於破產債權分配金額或消費者債務清理條例關於清算事件分配金額之提存，由受理強制執行、破產事件或辦理清算事件之法院提存所辦理之。 
政府機關依據法律所發給之補償費或其他公法上金錢給付，其提存由該機關所在地之法院提存所辦理之。
聲請書類及應備文件： 
提存書：
提存人須備提存書一式2份，依式逐項填明，由提存人簽名及蓋章。提存人姓名、住址應與身分證明文件所載相同。 
提存通知書：
提存書應添附提存通知書一式2份，如提存物受取權人有2人以上時，應按增加人數每人加添1份。 
國庫存款收款書或保管品聲請書：
提存物為現金者，應填具國庫存款收款書一式6聯，提存物如為有價證券者，應填具國庫保管品聲請書1份。 
提存費繳款證明，其依法免徵提存費者，毋庸提出。
繳納提存費：
清償提存費，其提存金額或價額在新臺幣（下同）1萬元以下者，繳納100元；逾1萬元至10萬元者，繳納500元；逾10萬元者，繳納1000元。但執行法院依強制執行法、管理人依破產法或消費者債務清理條例規定辦理提存者，免繳納提存費。 
提交提存書及提存物：
提存物為現金或有價證券者，提存人應將提存書連同提存物及提存費，一併提交當地國庫駐院收款處或當地代理國庫之銀行。提存物不適於國庫保管者，提存人應聲請該管法院指定保管提存物之保管機構，由提存人將提存物連同提存書提交該保管機構。提存人為此項聲請時，應同時向法院繳納提存費。並將繳費聯單黏附提存書。 
提存人提交提存物後3日內，未獲法院提存所發給提存書時，得向該管提存所查詢原因。",如何辦理清償提存？
52,"(一) 什麼是離婚？
夫妻雙方或一方有結束婚姻的意思，依法律規定的程序解除婚姻關係的行為。
(二)方式及要件：【連結：司法院/法治教育網/婦幼關懷/離婚 http://www.judicial.gov.tw/ByLaw/law_ch_protect3.jsp】
(三)書狀範例【連結：司法院/書狀範例/貳、少年及家事】",什麼是離婚
53,"(一) 什麼是親權？
父母因為要結束婚姻或者雖然沒有離婚，但已經有6個月以上沒有共同生活在一起時，如果雙方沒有辦法對於誰來行使未成年子女的親權達成共識、或者原有共識但內容不利子女、或者親權人未盡保護教養的義務，甚至對未成年子女有不利的情形時，可以請求法院以裁判方式來決定由誰來行使子女的親權。
(二)什麼人可以提出聲請？
未成年人之父母一方，直轄市、縣（市）政府，社會福利機構或其他利害關係人可以提出聲請。此時法院會斟酌未成年人的最佳利益，決定由誰來行使子女的親權。
(三)書狀範例【連結：司法院/書狀範例/貳、少年及家事】",酌定子女親權
54,代理人應具有民事訴訟法第七十條第一項但書及第二項規定之特別代理權。,代理人有何資格限制？
55,"公證範圍甚廣，只要是涉及私權的事實，都可以辦理公證或認證。依據公證法規定，下列各項法律行為，當事人或其他關係人得請求公證人作成公證書或認證書。
關於買賣、贈與、租賃、僱傭、承攬、出版、委任、合夥、經理人或代辦商、居間、行紀、寄託、倉庫、運送營業、承攬運送、和解、保證或其有關債權債務的契約行為。
關於所有權、地上權、永佃權、抵押權、質權、典權、留置權或其他有關物權的取得、設定、喪失或變更等行為。
關於訂婚、解除婚約、認領、監護或其他有關親屬的行為。但現行法規定收養須經法院認可，結婚、離婚須向戶政機關登記，均已不適再辦理公證，但就收養契約、結婚書面及離婚書面則可辦理公證。
關於訂立遺囑、撤銷遺囑，及其他處分遺產的行為。但如欲拋棄繼承，應於知悉其得繼承之時起3個月內向法院聲明，不是向公證處辦理。
關於公司、票據、海商、保險及其他涉及商事的行為。
解除、撤銷、催告、更正或補充，或其他涉及私權的法律行為。
關於下列的私權事實，也可以作為公證書或認證私權書。
關於不當得利、無因管理、侵權行為、債務履行或不履行的事實。
關於不動產相鄰關係、無主物之先占、遺失物之拾得、財產共有或占有的事實。
取得時效與消滅時效的事實。
其他涉及私權的事實。",那些事件可以辦理公證或認證？
56,"管轄的法院：
原受理提存事件的法院。 
領取之原因： 
依提存通知書。 
依執行法院執行命令。 
債權讓與。
聲請書類及應備文件： 
填寫領取提存物請求書一式2份，由聲請人簽名蓋章。 
原「提存通知書」。但提存通知書未經合法送達或以公示送達方式且未經受取權人領取者，毋庸提出。 
領取提存物之人，如應為對待給付時，應提出提存人之受領證書、裁判書、公證書或其他證明已經給付或免除其給付或已提出相當擔保之文件。聲請人領取提存物應具備其他要件時，應提出要件已具備之證明文件。 
親自領取者，應攜帶國民身分證 (經核對後留存其正背面影本各1份) 及印章。如為法人或其他團體者，並應提出法人或團體證明文件及其代表人或管理人身分證明文件。如聲請人現住址與提存通知書所載住址不符時，應提出載有遷徙情形之國民身分證或戶口名簿或戶籍謄本或其他證明文件或請原提存人更正之。 
如委任代理人領取，應提出代理人之國民身分證，附具委任書，載明有民事訴訟法第70條第1項但書及同條第2項之特別代理權。委任人在國外者，應提出3個月內經中華民國駐外使領館、代表處、辦事處或其他經外交部授權機構驗證之委任書或授權書。委任人在大陸地區者，應提出3個月內經財團法人海峽交流基金會驗證之委任書或授權書。 
聲請人委任代理人領取提存物，前項委任書並應附具委任人之國民身分證影本、印鑑證明或其他足以證明印文真正之文件。提存物之金額或價額逾100萬元者，其委任行為或委任書並應經公證人公證或認證。但提存物之其金額或價額在3萬元以下者，如證明為委任人之配偶、直系血親尊親屬或已成年之直系血親卑親屬或二親等之兄弟姊妹時，毋庸提出上開證明文件。 
由提存物受取權人之繼承人聲請領取者，應提出繼承系統表、戶籍謄本及其他足以證明其為合法繼承人之文件。
領取手續：
聲請人應攜帶國民身分證 (必要時應提正、背面影本2份附卷) 及印章 (領取聲請書上所用之同一印章)，領取前項「代存單」或「寄存證」，並在其上簽名、蓋章，持向當地代理國庫之銀行或指定保管提存物之處所具領。 
聲請領取提存物的期限：
債權人 (受取權人) 關於提存物之權利，自提存通知書送達發生效力之翌日起10年間不行使而消滅，其提存物歸屬國庫。",如何辦理領取提存物？
57,"(一)什麼是家事調解？
當您的家庭發生一些狀況而有循法律途徑解決的必要時，不論是夫妻或是親子的問題，在法院開始進行審判之前或審判進行中，只要當事人雙方願意調解，法院會請心理師、社會工作師、具備心理諮詢或心理諮商學經歷的人員或具備家事事件調解經驗的人員組成的團隊，由他們來幫助您及對方冷靜思考及面對問題，心平氣和地商量出一個合理的解決問題方案。
(二)家事調解是強制的嗎？
這可以分成兩種情形，像離婚、夫妻同居、終止收養或一定親屬間發生財產權的爭執時，一定要先經過法院調解。
至於其他家事事件，必須雙方都同意進行調解，法院才會將事件送請調解委員進行調解。
(三)如果調解不成立，雙方在調解委員面前的陳述，會被當
成法院判決的判斷基礎嗎？
調解中當事人的陳述或者讓步，不得作為裁判基礎。而且調解委員對於因為辦理調解事件而知道他人秘密或隱私的事項，負有保密的義務。
(四)如果不願意接受調解，會不會對判決結果有不利的影
響？
家事調解是由法院提供當事人以訴訟外的服務方式來解決問題。無論是否屬於強制調解事件，只要有一方不願意接受調解，事件會立刻送交法官進行審理程序，不會有任何不利的影響。
(五) 調解委員會強迫一方接受他方的要求嗎？
調解委員是以中立第三者角色，協助雙方自主地提出彼此都能接受的解決方案，不會強迫一方接受他方的要求。 
(六) 如何聲請進行家事調解？
除強制調解的事件外，法院調解團隊在收案後會寄發調解意願調查表給當事人，也可能以電話和當事人聯繫。當事人如果願意進行家事調解，可以在調查表上勾選同意欄後寄回法院或在法院所定的期日到場以書面表示同意。",什麼是家事調解
58,"公證或認證的目的都在於保障人民的私權，避免糾紛，減少訴訟的發生。現代社會複雜，人與人間的關係密切，涉及權利義務的事，每有爭執，甚至涉訟。如果能事先辦理公證，雙方權利義務分明，就可免除糾紛。公證的益處如下：
有堅強的證明力
經過公證的事件，當事人任何一方或第三人都應承認其效力，萬一將來涉訟，只要提出公證書，法院就根據它的記載作裁判，經過認證的文件，其簽名的真實性，當事人不得否認。
有強制執行力
對於以給付金錢或其他代替物或有價證券之一定數量為標的者；以給付特定之動產為標的者；租用或借用建築物或其他工作物，定有期限並應於期限屆滿時交還者；租用或借用土地，約定非供耕作或建築為目的，而於期限屆滿時應交還土地者之契約，凡是在公證書上載明應逕受強制執行，如對方不履行時，可憑公證書直接向法院聲請強制執行，當事人不必另行起訴，請律師打官司。
有案可查
公證或認證事件的卷宗，當事人如有需要，可隨時聲請閱覽或抄發繕本。",為什麼要辦公證或認證？
59,"管轄的法院：
擔保提存事件，由本案訴訟已繫屬或應繫屬之第一審法院或執行法院提存所辦理之（提存法第5條）。 
聲請書類及應備文件： 
提存書：提存人須備提存書一式2份，依式逐項填明，由提存人簽名及蓋章。提存人姓名、住址應與身分證明文件所載相同。 
國庫存款收款書或保管品聲請書：
提存物為現金者，應填具國庫存款收款書一式6聯。提存物如為有價證券者，應填具國庫保管品聲請書1份。 
提存費繳款證明。 
提存原因證明文件：
提存人應附具法院裁判書正本或影本。如以抄本或節本代替者，應由提存人簽名或蓋章證明與原本無異。
繳納提存費：
擔保提存費，每件繳納新臺幣500元。 
提交提存書及提存物：
提存物為現金或有價證券或貴重物品者，提存人應將提存書連同提存物及提存費，一併提交當地國庫駐院收款處或當地代理國庫之銀行。提存物不適於國庫保管者，提存人應聲請提存所指定保管提存物之處所，由提存人將提存物連同提存書提交該處所。 
提存人提交提存物後3日內，未獲本院提存所發給提存書時，得向該所查詢原因。",如何辦理擔保提存？
60,"聲請人依法人登記聲請書逐欄詳細填寫，由聲請人全體理事簽名或蓋章，並加蓋法人印信。 
檢附之章程及文件： 
章程應記載之事項，包括：設立法人之目的 (宗旨)；法人之名稱；組織區域；會址；任務；組織；會員入會、出會與除名；會員之權利與義務；會員代表及董事 (理事) 、監事之名額、職權、任期及選任與解任；會議 (會員或會員代表大會召集之條件、程序及其決議證明之方法)；經費及會計；章程修改之程序；訂定章程之年、月、日；其他依法令規定應載明之事項。
應附具之文件： 
Ⅰ法人之目的事業主管機關核准法人設立之文書。 
Ⅱ董事 (理事) 、監事產生及應備資格之證明文件，董事 (理事)、監事願任同意書，及主管機關准許該董事 (理事) 、監事備案之文件。 
Ⅲ會員名冊或會員代表名冊、財產目錄並其證明文件。所謂財產證明文件，指法人獲准登記成立時，即將該財產移轉為其所有之承諾書或其他文件。業已存在之非法人團體辦理法人設立登記時，前項董事 (理事) 、監事，指現任董事 (理事) 、監事而言，如有疑問，應通知聲請人提出主管機關證明文件。",如何辦理社團法人登記？
61,"(一)什麼是死亡宣告？
自然人失蹤達一定期間，得依利害關係人或檢察官之聲請，由法院以判決宣告，視為死亡。這是一種為使失蹤人失蹤前的相關私法法律關係得以終結，如遺產得以開始繼承、失蹤人之配偶得以再婚的擬制死亡制度。
(二)要件
1.失蹤人失蹤滿7年。
2.年滿80歲者，失蹤滿3年。
3.失蹤人遭遇特別災難滿1年。
(三)什麼人可以提出聲請？
利害關係人或檢察官向失蹤人住所地之法院提出聲請。
(四)應備文件
失蹤人之戶籍謄本。
(五)書狀範例【連結：司法院/書狀範例/壹、民事訴訟/編號115】",什麼是死亡宣告
62,"聲請人依法人登記聲請書逐欄詳細填寫，由聲請人全體董事、監事簽名或蓋章，並加蓋法人印信。 
檢附之文件： 
法人之目的事業主管機關許可法人籌設暨許可董事及董事會備案之文書。 
董事 、監事之產生及其資格之證明文件，董事、監事願任同意書，及主管機關准許該董事、監事備案之文件。 
捐助及組織章程。 
財產清冊。",如何辦理財團法人登記？
63,"認領是無婚姻關係所生子女（非婚生子女），由生父承認為其自己之子女，使子女取得與婚生子女相同身分，聲請手續如下：
向各地方法院公證處服務台購買公證請求書1份，包括新臺幣（下同）2元。
請求書的填寫方式：
依認領人（被認領人之生父）、被認領人及其法定代理人（被認領人之生母）之次序，將姓名、性別、出生地、出生年月日、職業、身分證明文件及其字號、住居所等，填入請求人欄中。
「請求公證之法律行為或私權事實」欄內填寫「當事人間因認領子女，請求公證。」
其餘各欄無須填寫，最後由請求人簽名蓋章，並寫明年月日。
請求書寫好後，交公證處服務台收件，分由公證人辦理。
認領人及被認領人之生母須攜帶國民身分證和印章，親自到場，另須帶被認領人與生母之戶籍謄本1份，子女尚未報戶口者，帶出生證明書1份。被認領人年滿7歲者，亦應親自到場。
公證處有印好的認領書，當事人無須自備。
公證費用1,000元。
此類事件在辦公時間內隨到隨辦，除出生證明書視情形需加以查對外，均可即時作成公證書，交付與請求人。",如何辦理認領子女公證
